CMPD_CHEMBLID,DOC_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,RELATION,STANDARD_VALUE,STANDARD_UNITS,relevance,qid
CHEMBL1794051,CHEMBL2311504,OC1Nc2ccc(I)cc2C1=Cc3cc(Br)c(O)c(Br)c3,IC50,=,200000.0,nM,0.0,516
CHEMBL2203539,CHEMBL2203031,O=C1NC(=S)NC(=O)C1=Cc2cn(Cc3ccccc3)c4ccccc24,IC50,=,16600.0,nM,4.779891911959945,515
CHEMBL2203537,CHEMBL2203031,CN1C(=S)NC(=O)\C(=C/c2c[nH]c3ccccc23)\C1=O,IC50,=,27000.0,nM,4.568636235841012,515
CHEMBL380797,CHEMBL3400009,CC(NC(=O)c1ccccc1\N=C\c2c(O)ccc3ccccc23)c4ccccc4,IC50,>,100000.0,nM,0.0,512
CHEMBL2203543,CHEMBL2203031,Brc1ccc(COc2ccc(C=C3C(=O)NC(=S)NC3=O)cc2)cc1,IC50,=,6200.0,nM,5.207608310501746,515
CHEMBL265502,CHEMBL2163301,Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,IC50,=,27000.0,nM,4.568636235841012,511
CHEMBL265502,CHEMBL3400009,Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,IC50,=,2000.0,nM,5.698970004336019,512
CHEMBL1714005,CHEMBL2203031,O=C1NC(=S)NC(=O)C1=Cc2c[nH]c3ccccc23,IC50,=,46500.0,nM,4.332547047110046,515
CHEMBL1140,CHEMBL2203031,NC(=O)c1cccnc1,IC50,=,46600.0,nM,4.33161408331,515
CHEMBL2203538,CHEMBL2203031,CCN1C(=S)NC(=O)\C(=C/c2c[nH]c3ccccc23)\C1=O,IC50,=,55900.0,nM,4.252588192113577,515
CHEMBL224864,CHEMBL3400009,Clc1ccc(Cl)c(c1)c2oc(\C=C(/C#N)\C(=O)Nc3cccc4ncccc34)cc2,IC50,>,100000.0,nM,0.0,512
CHEMBL2203548,CHEMBL2203031,Clc1cccc(c1Cl)c2oc(\C=C\3/C(=O)NC(=S)N(CC=C)C3=O)cc2,IC50,=,2300.0,nM,5.638272163982407,515
CHEMBL109,CHEMBL2163301,CCCC(CCC)C(=O)O,IC50,>,100000.0,nM,0.0,511
CHEMBL2203541,CHEMBL2203031,CCN1C(=S)NC(=O)\C(=C/c2ccc(OCc3ccccc3)cc2)\C1=O,IC50,=,12900.0,nM,4.889410289700751,515
CHEMBL2203547,CHEMBL2203031,Clc1cccc(c1Cl)c2oc(C=C3C(=O)NC(=S)NC3=O)cc2,IC50,=,3600.0,nM,5.443697499232712,515
CHEMBL86537,CHEMBL3400009,O=C1CCc2c(O1)ccc3ccccc23,IC50,>,100000.0,nM,0.0,512
CHEMBL2203545,CHEMBL2203031,CC(C)c1ccc(C=C2C(=O)NC(=S)NC2=O)cc1,IC50,=,39400.0,nM,4.404503778174426,515
CHEMBL1140,CHEMBL3400009,NC(=O)c1cccnc1,IC50,>,100000.0,nM,0.0,512
CHEMBL1469,CHEMBL2163301,OC(=O)CCCc1ccccc1,IC50,>,100000.0,nM,0.0,511
CHEMBL1591531,CHEMBL2203031,Cn1cc(C2=C(C(=O)NC2=O)c3cn(CCCSC(=N)N)c4ccccc34)c5ccccc15.CS(=O)(=O)O,IC50,,,,0.0,515
CHEMBL491960,CHEMBL2203031,Oc1ccc2ccccc2c1CC3=C(NC(=S)NC3=O)c4ccccc4,IC50,=,42500.0,nM,4.371611069949688,515
CHEMBL265502,CHEMBL2203031,Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,IC50,=,46600.0,nM,4.33161408331,515
CHEMBL224864,CHEMBL2163301,Clc1ccc(Cl)c(c1)c2oc(\C=C(/C#N)\C(=O)Nc3cccc4ncccc34)cc2,IC50,>,100000.0,nM,0.0,511
CHEMBL3601369,CHEMBL3600344,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)NCCCC(=O)O)NC(=O)[C@H](CCCCNC(=O)C)NC(=O)C)C(=O)N,IC50,>,100000.0,nM,0.0,513
CHEMBL2203542,CHEMBL2203031,C=CCN1C(=S)NC(=O)\C(=C/c2ccc(OCc3ccccc3)cc2)\C1=O,IC50,=,67300.0,nM,4.171984935776023,515
CHEMBL380797,CHEMBL2203031,CC(NC(=O)c1ccccc1\N=C\c2c(O)ccc3ccccc23)c4ccccc4,IC50,=,48900.0,nM,4.310691140876379,515
CHEMBL380797,CHEMBL2163301,CC(NC(=O)c1ccccc1\N=C\c2c(O)ccc3ccccc23)c4ccccc4,IC50,>,100000.0,nM,0.0,511
CHEMBL2203544,CHEMBL2203031,COc1cc(C=C2C(=O)NC(=S)NC2=O)ccc1OCc3ccccc3Cl,IC50,=,12400.0,nM,4.906578314837764,515
CHEMBL3601371,CHEMBL3600344,CCOC(=O)CCNC(=S)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)C)NC(=O)C)C(=O)N[C@@H](CCCCNC(=O)C)C(=O)N,IC50,>,100000.0,nM,0.0,513
CHEMBL98,CHEMBL2163301,ONC(=O)CCCCCCC(=O)Nc1ccccc1,IC50,>,100000.0,nM,0.0,511
CHEMBL265502,CHEMBL2311504,Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,IC50,=,14200.0,nM,4.847711655616943,516
CHEMBL1715925,CHEMBL2203031,O=C1NC(=S)NC(=O)C1=Cc2ccc(OCc3ccccc3)cc2,IC50,=,12600.0,nM,4.899629454882437,515
CHEMBL2203546,CHEMBL2203031,COc1ccc2c(C=C3C(=O)NC(=S)NC3=O)cccc2c1,IC50,=,22400.0,nM,4.649751981665837,515
CHEMBL3601367,CHEMBL3600344,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)NCC(=O)O)NC(=O)[C@H](CCCCNC(=O)C)NC(=O)C)C(=O)N,IC50,>,100000.0,nM,0.0,513
CHEMBL3601368,CHEMBL3600344,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)NCCC(=O)O)NC(=O)[C@H](CCCCNC(=O)C)NC(=O)C)C(=O)N,IC50,=,5000.0,nM,5.301029995663981,513
CHEMBL420311,CHEMBL2203031,NC(=O)C1CCCc2c1[nH]c3ccc(Cl)cc23,IC50,,,,0.0,515
CHEMBL2203540,CHEMBL2203031,CN1C(=S)NC(=O)\C(=C/c2ccc(OCc3ccccc3)cc2)\C1=O,IC50,=,17800.0,nM,4.7495799976911055,515
CHEMBL270292,CHEMBL2203031,Brc1ccc2c3C(CC(=O)Oc3ccc2c1)c4ccccc4,IC50,,,,0.0,515
CHEMBL1795371,CHEMBL2203031,O=C1NC(=S)NC(=O)C1=Cc2ccc(cc2)c3ccccc3,IC50,=,30000.0,nM,4.522878745280337,515
CHEMBL597845,CHEMBL2311504,CC(C(=O)Nc1cccc(c1)\N=C\c2c(O)ccc3ccccc23)c4ccccc4,Inhibition,=,20.0,%,20.0,526
