CMPD_CHEMBLID,DOC_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,RELATION,STANDARD_VALUE,STANDARD_UNITS,relevance,qid
CHEMBL387119,CHEMBL1137294,CN1C(=O)C(=C(C1=O)c2cn(CCCCCCCO)c3ccccc23)c4cn(CCCCCCCO)c5ccccc45,IC50,>,100000.0,nM,0.0,219
CHEMBL491106,CHEMBL1138523,Oc1ccc2ccccc2c1CC3=C(N(CC=C)C(=S)NC3=O)c4ccccc4,IC50,=,22200.0,nM,4.653647025549361,2140
CHEMBL3354223,CHEMBL3352209,N\C=C/1\C(CCc2ccccc2)Oc3c(Br)cc(Cl)cc3C1=O,IC50,,,,0.0,2142
CHEMBL1140,CHEMBL1155190,NC(=O)c1cccnc1,IC50,=,11000.0,nM,4.958607314841775,2153
CHEMBL1254694,CHEMBL1250463,COC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=O)c1cccnc1)NC(=O)[C@H](C)NC(=O)C,IC50,,,,0.0,2145
CHEMBL472516,CHEMBL1139425,C[C@H](NC(=O)\C=C\c1ccccc1)C(=O)NCCc2c[nH]c3ccccc23,IC50,=,109000.0,nM,0.0,2141
CHEMBL3408827,CHEMBL3407343,CCCCCCCCn1c2CCN(Cc2c3cc(ccc13)c4cccc(C)c4)C(C)C,IC50,=,11200.0,nM,4.950781977329818,2113
CHEMBL3408824,CHEMBL3407343,CN1CCc2[nH]c3ccc(cc3c2C1)c4cccc(C)c4,IC50,=,83000.0,nM,4.080921907623926,2113
CHEMBL2164003,CHEMBL2163190,CCCC1CC(=O)c2cc(Cl)cc(Br)c2O1,IC50,=,10600.0,nM,4.97469413473523,2129
CHEMBL3343532,CHEMBL3351796,Cc1ccc(cc1[N+](=O)[O-])C(=O)Nc2cccc3cc(Oc4cncc(c4)C(=O)N)ccc23,IC50,=,869.0,nM,6.060980223551334,2157
CHEMBL115600,CHEMBL1140425,Cc1ccc2[nH]c3C(CCCc3c2c1)C(=O)N,IC50,=,11500.0,nM,4.939302159646388,2148
CHEMBL226115,CHEMBL3390834,[O-][N+](=O)c1ccc(N2CCN(CC2)C(=O)c3ccc(Cl)cc3)c4cccnc14,IC50,=,35000.0,nM,4.455931955649724,2158
CHEMBL3601363,CHEMBL3600344,CNC(=S)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=O)C)NC(=O)C)C(=O)N[C@@H](CCCCNC(=O)C)C(=O)N,IC50,=,1650.0,nM,5.782516055786093,2132
CHEMBL2164002,CHEMBL2163190,CCCCCC1CC(=O)c2ccc(F)cc2O1,IC50,,,,0.0,2129
CHEMBL3236707,CHEMBL3232865,CN(c1ccc(Cl)cc1)S(=O)(=O)c2cccc(c2)C(=O)Nc3ccc(Cl)nn3,IC50,=,15600.0,nM,4.806875401645538,2161
CHEMBL2181509,CHEMBL2177084,CC(CS(=O)(=O)c1ccccc1\N=C\c2c(O)ccc3ccccc23)c4ccccc4,IC50,=,24200.0,nM,4.616184634019569,2146
CHEMBL3236998,CHEMBL3232865,COc1ccc(cc1)N(C)S(=O)(=O)c2cccc(c2)C(=O)Nc3ccc(cc3)C#N,IC50,=,9600.0,nM,5.017728766960431,2161
CHEMBL386248,CHEMBL1137363,OCc1cccc(\C=N\c2cc(cc(c2)C(F)(F)F)\N=C\c3cccc(CO)c3O)c1O,IC50,=,91000.0,nM,4.040958607678906,2163
CHEMBL3354221,CHEMBL3352209,CC(=O)NC1=C(CCc2ccccc2)Oc3c(Br)cc(Cl)cc3C1=O,IC50,=,28700.0,nM,4.542118103266008,2142
CHEMBL1835297,CHEMBL1833937,COC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](C)NC(=O)C,IC50,=,13000.0,nM,4.886056647693163,2131
CHEMBL1814815,CHEMBL1811808,CC(=O)NCCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CCCNC(=O)C)NC(=O)C)C(=O)N,IC50,=,2900.0,nM,5.537602002101044,213
CHEMBL1254379,CHEMBL1250463,COC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=O)\C(=C\C)\C)NC(=O)[C@H](C)NC(=O)C,IC50,,,,0.0,2145
CHEMBL491960,CHEMBL3390834,Oc1ccc2ccccc2c1CC3=C(NC(=S)NC3=O)c4ccccc4,IC50,=,59000.0,nM,4.229147988357855,2158
CHEMBL491960,CHEMBL2169828,Oc1ccc2ccccc2c1CC3=C(NC(=S)NC3=O)c4ccccc4,IC50,=,42100.0,nM,4.375717904164332,214
CHEMBL420311,CHEMBL1144627,NC(=O)C1CCCc2c1[nH]c3ccc(Cl)cc23,IC50,=,14000.0,nM,4.853871964321762,2137
CHEMBL505399,CHEMBL1153388,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CO)[C@@H](C)O)C(=O)O,IC50,=,6900.0,nM,5.161150909262744,2123
CHEMBL3358387,CHEMBL3352569,O=C(Nc1ccnnc1)c2cccc(c2)c3ccc4ccccc4c3,IC50,=,6300.0,nM,5.200659450546418,2110
CHEMBL512966,CHEMBL1155918,CC(C)(C)c1ccc(cc1)c2noc(n2)C(=O)NNC(=S)Nc3cccc(c3)C(F)(F)F,IC50,=,57000.0,nM,4.2441251443275085,2124
CHEMBL270292,CHEMBL1143139,Brc1ccc2c3C(CC(=O)Oc3ccc2c1)c4ccccc4,IC50,=,5200.0,nM,5.2839966563652006,2164
CHEMBL215427,CHEMBL1137363,CC1(C)CCC(C)(C)c2cc(ccc12)c3csc(n3)C4CCN(Cc5ccc(cc5)N(CCC#N)CCC#N)CC4,IC50,=,136000.0,nM,0.0,2163
CHEMBL3343526,CHEMBL3351796,NC(=O)c1cncc(Sc2ccc3ccccc3c2)c1,IC50,=,12100.0,nM,4.91721462968355,2157
CHEMBL3220463,CHEMBL3217470,O=C1NC(=S)NC(=O)C1=Cc2oc(Sc3ccccc3)cc2,IC50,=,3500.0,nM,5.455931955649724,2115
CHEMBL3236708,CHEMBL3232865,CN(c1ccc(Cl)cc1)S(=O)(=O)c2cccc(c2)C(=O)Nc3cc(Cl)cnn3,IC50,=,16100.0,nM,4.79317412396815,2161
CHEMBL2152610,CHEMBL2150931,NC(=O)c1ccccc1Nc2cccc(OCC3CCCCC3)c2,IC50,=,24000.0,nM,4.619788758288394,2165
CHEMBL1254126,CHEMBL1250463,CP(=S)(C)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc2ccccc2,IC50,,,,0.0,2145
CHEMBL3354197,CHEMBL3352209,OCCCCC1CC(=O)c2cc(Cl)cc(Br)c2O1,IC50,,,,0.0,2142
CHEMBL3290218,CHEMBL3286262,CCOC(=O)c1ccc2c(c1)nc(c3ccc(cc3)N(C)C)n2c4ccccc4,IC50,=,26850.0,nM,4.571055709964425,2111
CHEMBL3236132,CHEMBL3232889,NC(=O)c1ccccc1Nc2cccc(c2)c3cn(CCC4CCCC4)nn3,IC50,=,5300.0,nM,5.275724130399211,2149
CHEMBL2417696,CHEMBL2417552,CC(=S)NCCCC[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OCc2ccccc2)C(=O)NCC(=O)c3ccccc3,IC50,=,1800.0,nM,5.7447274948966935,2144
CHEMBL561596,CHEMBL2150931,NC(=O)c1ccccc1Nc2cccc(CO)c2,IC50,>,100000.0,nM,0.0,2165
CHEMBL2203548,CHEMBL3217470,Clc1cccc(c1Cl)c2oc(\C=C\3/C(=O)NC(=S)N(CC=C)C3=O)cc2,IC50,=,2818.38,nM,5.550000451689026,2115
CHEMBL1835305,CHEMBL1833937,C[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)CCc1ccccc1)C(=O)O,IC50,=,56000.0,nM,4.251811972993799,2131
CHEMBL3609651,CHEMBL3608247,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)C)C(=O)N,IC50,=,12000.0,nM,4.920818753952375,216
CHEMBL570186,CHEMBL1156803,Fc1ccc(\C=C\2/C(=O)Nc3c(Cl)c(Cl)ccc23)cc1,IC50,=,33400.0,nM,4.476253533188435,2126
CHEMBL2152627,CHEMBL2150931,NC(=O)c1ccccc1Nc2cccc(OCCc3cccc(Br)c3)c2,IC50,=,3400.0,nM,5.468521082957745,2165
CHEMBL1835299,CHEMBL1833937,C[C@H](NC(=O)[C@@H](N)CCCCNC(=S)C)C(=O)O,IC50,=,2000.0,nM,5.698970004336019,2131
CHEMBL2207877,CHEMBL2203192,CC[C@@H]1CC(=O)[C@@H]2[C@@H](O)C(=CC[C@H]2[C@]1(C)C(=O)C3=C(O)NCC3=O)C,IC50,=,4500000.0,nM,0.0,2138
CHEMBL1835312,CHEMBL1833937,CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)c2ccccc2,IC50,=,4300.0,nM,5.366531544420414,2131
CHEMBL3237041,CHEMBL3232865,CN(c1ccc(Cl)cc1)S(=O)(=O)c2cc(ccn2)C(=O)Nc3ccc(cc3F)C#N,IC50,=,10200.0,nM,4.991399828238082,2161
CHEMBL380797,CHEMBL1141869,CC(NC(=O)c1ccccc1\N=C\c2c(O)ccc3ccccc23)c4ccccc4,IC50,=,57700.0,nM,4.238824186844269,2121
CHEMBL296586,CHEMBL1137294,Brc1ccc2[nH]c3c(CC(=O)Nc4ccccc34)c2c1,IC50,>,100000.0,nM,0.0,219
CHEMBL420311,CHEMBL1795336,NC(=O)C1CCCc2c1[nH]c3ccc(Cl)cc23,IC50,=,19600.0,nM,4.707743928643524,2112
CHEMBL3408985,CHEMBL3407343,CCCCCCCCn1c2CCNCc2c3cc(ccc13)c4ccnc(F)c4,IC50,,,,0.0,2113
CHEMBL224864,CHEMBL3232889,Clc1ccc(Cl)c(c1)c2oc(\C=C(/C#N)\C(=O)Nc3cccc4ncccc34)cc2,IC50,=,3500.0,nM,5.455931955649724,2149
CHEMBL224864,CHEMBL3390834,Clc1ccc(Cl)c(c1)c2oc(\C=C(/C#N)\C(=O)Nc3cccc4ncccc34)cc2,IC50,=,3500.0,nM,5.455931955649724,2158
CHEMBL270292,CHEMBL2203031,Brc1ccc2c3C(CC(=O)Oc3ccc2c1)c4ccccc4,IC50,=,1000.0,nM,6.0,2151
CHEMBL2417682,CHEMBL2417552,COc1ccc(cc1)C(=O)CNC(=O)[C@H](CCCCNC(=S)C)NC(=O)OCc2ccccc2,IC50,=,2530.0,nM,5.596879478824182,2144
