CMPD_CHEMBLID,DOC_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,RELATION,STANDARD_VALUE,STANDARD_UNITS,relevance,qid
CHEMBL3311063,CHEMBL3351989,CCOc1ccccc1c2nn3c(nnc3s2)c4occc4,IC50,=,23600.0,nM,4.627087997029894,1154
CHEMBL3233748,CHEMBL3232806,CC(C)c1ccc(cc1)C2=C(Cc3c(O)ccc4nc(Cl)ccc34)C(=O)NN2,IC50,=,21000.0,nM,4.6777807052660805,119
CHEMBL3408982,CHEMBL3407343,CCCCCCCCn1c2CCN(CCO)Cc2c3cc(ccc13)c4cnc(N)nc4,IC50,,,,0.0,1148
CHEMBL1140,CHEMBL3390834,NC(=O)c1cccnc1,IC50,=,25000.0,nM,4.6020599913279625,1118
CHEMBL2332054,CHEMBL2331260,CC(C)(C)C(=O)NCC1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,4300.0,nM,5.366531544420414,1133
CHEMBL1140,CHEMBL3407343,NC(=O)c1cccnc1,IC50,=,149000.0,nM,0.0,1148
CHEMBL3408831,CHEMBL3407343,CCCCCCCCn1c2CCNCc2c3cc(ccc13)c4cccc(C)c4,IC50,=,20000.0,nM,4.698970004336019,1148
CHEMBL584353,CHEMBL1155190,CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc2ccccc2,IC50,=,2700.0,nM,5.568636235841012,1144
CHEMBL1254694,CHEMBL1250463,COC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=O)c1cccnc1)NC(=O)[C@H](C)NC(=O)C,IC50,,,,0.0,1159
CHEMBL3219552,CHEMBL3217484,CCCOc1ccc(CN2C(=S)NC(=O)C(=C2c3ccccc3)Cc4c(OC)ccc5ccccc45)cc1,IC50,=,61900.0,nM,4.208309350979882,113
CHEMBL1140,CHEMBL1138922,NC(=O)c1cccnc1,IC50,=,520000.0,nM,0.0,1149
CHEMBL561194,CHEMBL3390834,NC(=O)c1ccccc1Nc2ccccc2,IC50,=,17000.0,nM,4.769551078621726,1118
CHEMBL561194,CHEMBL2150931,NC(=O)c1ccccc1Nc2ccccc2,IC50,=,56000.0,nM,4.251811972993799,1134
CHEMBL2152609,CHEMBL2150931,CN(C(=O)Cc1ccccc1)c2cccc(Nc3ccccc3C(=O)N)c2,IC50,>,100000.0,nM,0.0,1134
CHEMBL1835297,CHEMBL1833937,COC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](C)NC(=O)C,IC50,=,1000.0,nM,6.0,114
CHEMBL3311173,CHEMBL3351989,CCOc1ccccc1OCc2nn3c(nnc3s2)c4occc4,IC50,=,13700.0,nM,4.863279432843593,1154
CHEMBL3408814,CHEMBL3407343,CCCCCCCCn1c2CCN(Cc2c3cc(ccc13)c4cnc(N)nc4)C(=O)N,IC50,=,63000.0,nM,4.200659450546418,1148
CHEMBL3311174,CHEMBL3351989,C(Cc1ccccc1)Cc2nn3c(nnc3s2)c4occc4,IC50,=,12200.0,nM,4.913640169325252,1154
CHEMBL2314710,CHEMBL2311269,Oc1ccc(O)c(c1)C(=O)c2coc3ccc(O)cc23,IC50,=,421400.0,nM,0.0,1127
CHEMBL420311,CHEMBL2169871,NC(=O)C1CCCc2c1[nH]c3ccc(Cl)cc23,IC50,=,98.0,nM,7.008773924307505,111
CHEMBL265502,CHEMBL3588849,Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,IC50,=,2800.0,nM,5.552841968657781,1128
CHEMBL3310820,CHEMBL3351989,Cc1cccc(c1)c2nn3c(nnc3s2)c4occc4,IC50,=,7500.0,nM,5.1249387366083,1154
CHEMBL493159,CHEMBL1153388,C[C@@H](O)[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)CO)C(=O)O,IC50,=,11100.0,nM,4.954677021213342,1116
CHEMBL3408980,CHEMBL3407343,CCCCCCCCn1c2CCN(Cc2c3cc(ccc13)c4cnc(N)nc4)C(C)C,IC50,=,56000.0,nM,4.251811972993799,1148
CHEMBL2203542,CHEMBL2203031,C=CCN1C(=S)NC(=O)\C(=C/c2ccc(OCc3ccccc3)cc2)\C1=O,IC50,=,36800.0,nM,4.434152181326482,1156
CHEMBL1876771,CHEMBL2311269,Cc1oc2ccc(O)cc2c1C(=O)c3ccc(Br)cc3,IC50,=,243000.0,nM,0.0,1127
CHEMBL171145,CHEMBL1140425,NC(=O)CNC(=O)C1CCCc2c1[nH]c3ccc(Cl)cc23,IC50,>,100000.0,nM,0.0,1167
CHEMBL3290223,CHEMBL3286262,CCOC(=O)c1ccc2c(c1)nc(c3ccc(Cl)cc3)n2c4ccccc4,IC50,,,,0.0,1112
CHEMBL549853,CHEMBL2150931,NC(=O)c1ccccc1Nc2cccc(Oc3ccccc3)c2,IC50,=,58000.0,nM,4.236572006437063,1134
CHEMBL1255033,CHEMBL1250463,COC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=O)CCl)NC(=O)[C@H](C)NC(=O)C,IC50,,,,0.0,1159
CHEMBL2314700,CHEMBL2311269,COc1ccc(O)c(c1)C(=O)c2coc3ccc(O)cc23,IC50,=,45100.0,nM,4.345823458122039,1127
CHEMBL3219833,CHEMBL3217699,CSCC[C@H](NC(=O)[C@H](CCCCNC(=O)C)NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C)C(=O)N,IC50,=,700.0,nM,6.154901959985743,1141
CHEMBL1254125,CHEMBL1250463,COC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=O)C)NC(=O)[C@H](C)NC(=O)C,IC50,=,268000.0,nM,0.0,1159
CHEMBL452893,CHEMBL1153388,CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](N)Cc1cnc[nH]1)[C@@H](C)O)C(=O)O,IC50,=,4300.0,nM,5.366531544420414,1116
CHEMBL3105172,CHEMBL3102788,CCOC(=O)c1ccc2c(c1)nc(c3ccc(Br)cc3)n2CCO,IC50,,,,0.0,1113
