CMPD_CHEMBLID,DOC_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,RELATION,STANDARD_VALUE,STANDARD_UNITS,relevance,qid
CHEMBL3609652,CHEMBL3608247,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)C)C(=O)N,IC50,=,480.0,nM,6.318758762624412,3118
CHEMBL3609650,CHEMBL3608247,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CCc1ccccc1)NC(=O)C)C(=O)N,IC50,=,800.0,nM,6.096910013008056,3118
CHEMBL3233749,CHEMBL3232806,Cc1ccc(cc1)C2=C(Cc3c(O)ccc4cc(Br)ccc34)C(=O)ON2,IC50,>,200000.0,nM,0.0,3110
CHEMBL3343526,CHEMBL3351796,NC(=O)c1cncc(Sc2ccc3ccccc3c2)c1,IC50,=,27900.0,nM,4.554395796726403,3117
CHEMBL382277,CHEMBL3217699,NC(=O)C1CCCC2C1Nc3ccc(Cl)cc23,IC50,,,,0.0,3113
CHEMBL3343652,CHEMBL3351796,NC(=O)c1cncc(Oc2cccc3c(NC(=O)c4ccccc4)cccc23)c1,IC50,=,29700.0,nM,4.527243550682788,3117
CHEMBL1715925,CHEMBL2203031,O=C1NC(=S)NC(=O)C1=Cc2ccc(OCc3ccccc3)cc2,IC50,=,29300.0,nM,4.53313237964589,312
CHEMBL3608311,CHEMBL3608247,CC(=O)NC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)C)C(=O)N,IC50,=,1910.0,nM,5.718966632752273,3118
CHEMBL1814815,CHEMBL1811808,CC(=O)NCCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CCCNC(=O)C)NC(=O)C)C(=O)N,IC50,=,4300.0,nM,5.366531544420414,316
CHEMBL3233733,CHEMBL3232806,Cc1ccc(cc1)C2=C(Cc3c(O)ccc4cc(ccc34)c5ccccc5)C(=O)NN2,IC50,=,6000.0,nM,5.221848749616356,3110
CHEMBL2417682,CHEMBL2417552,COc1ccc(cc1)C(=O)CNC(=O)[C@H](CCCCNC(=S)C)NC(=O)OCc2ccccc2,IC50,=,8350.0,nM,5.078313524516398,311
CHEMBL373134,CHEMBL2062496,c1cncc(c1)c2cnn[nH]2,IC50,=,38000.0,nM,4.42021640338319,3116
CHEMBL1795371,CHEMBL2203031,O=C1NC(=S)NC(=O)C1=Cc2ccc(cc2)c3ccccc3,IC50,=,40300.0,nM,4.39469495385889,312
CHEMBL3233748,CHEMBL3232806,CC(C)c1ccc(cc1)C2=C(Cc3c(O)ccc4nc(Cl)ccc34)C(=O)NN2,IC50,=,122000.0,nM,0.0,3110
CHEMBL3343531,CHEMBL3351796,NC(=O)c1cncc(Sc2cccc3ccccc23)c1,IC50,=,30100.0,nM,4.521433504406157,3117
CHEMBL2338814,CHEMBL2331260,NC(=O)c1cc2ncnc(N3CCN(CCN4CCCC4)CC3)c2s1,IC50,=,30.0,nM,7.522878745280337,314
CHEMBL3343533,CHEMBL3351796,NC(=O)c1cncc(Oc2ccc3c(NC(=O)c4ccccc4)cccc3c2)c1,IC50,=,18300.0,nM,4.73754891026957,3117
CHEMBL3608442,CHEMBL3608247,CC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CCCCNC(=O)C)NC(=O)C)C(=O)N,IC50,=,1100.0,nM,5.958607314841775,3118
CHEMBL1794051,CHEMBL1156803,OC1Nc2ccc(I)cc2C1=Cc3cc(Br)c(O)c(Br)c3,IC50,=,25100.0,nM,4.600326278518962,3121
CHEMBL2203544,CHEMBL2203031,COc1cc(C=C2C(=O)NC(=S)NC2=O)ccc1OCc3ccccc3Cl,IC50,=,46400.0,nM,4.333482019445119,312
CHEMBL3608443,CHEMBL3608247,CC(=O)NCCCC[C@H](NC(=O)C)C(=O)N[C@@H](CCCCNC(=S)C)C(=O)N[C@@H](Cc1csc2ccccc12)C(=O)N,IC50,=,1400.0,nM,5.853871964321762,3118
CHEMBL3609646,CHEMBL3608247,CCCC[C@H](NC(=O)C)C(=O)N[C@@H](CCCCNC(=S)C)C(=O)N[C@@H](CCCCNC(=O)C)C(=O)N,IC50,=,450.0,nM,6.346787486224656,3118
CHEMBL3343528,CHEMBL3351796,NC(=O)c1cncc(Nc2cccc3ccccc23)c1,IC50,=,9000.0,nM,5.045757490560675,3117
CHEMBL491960,CHEMBL2331260,Oc1ccc2ccccc2c1CC3=C(NC(=S)NC3=O)c4ccccc4,IC50,>,300000.0,nM,0.0,314
CHEMBL3608447,CHEMBL3608247,CC(=O)NC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CNC(=O)C)NC(=O)C)C(=O)N,IC50,=,1800.0,nM,5.7447274948966935,3118
CHEMBL265502,CHEMBL2203031,Cc1ccc(cc1NC(=O)c2cccc(NC(=O)Nc3cccc(c3)C(=O)Nc4cc(ccc4C)C(=O)Nc5ccc(c6cc(cc(c56)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)c2)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O,IC50,,,,0.0,312
CHEMBL224864,CHEMBL3232889,Clc1ccc(Cl)c(c1)c2oc(\C=C(/C#N)\C(=O)Nc3cccc4ncccc34)cc2,IC50,=,91000.0,nM,4.040958607678906,319
CHEMBL3343653,CHEMBL3351796,Cc1ccc(cc1)C(=O)Nc2cccc3c(Oc4cncc(c4)C(=O)N)cccc23,IC50,=,33500.0,nM,4.474955192963154,3117
CHEMBL3609648,CHEMBL3608247,CC[C@H](NC(=O)C)C(=O)N[C@@H](CCCCNC(=S)C)C(=O)N[C@@H](CCCCNC(=O)C)C(=O)N,IC50,=,890.0,nM,6.050609993355088,3118
CHEMBL2332054,CHEMBL2331260,CC(C)(C)C(=O)NCC1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,650.0,nM,6.187086643357144,314
CHEMBL1140,CHEMBL3351796,NC(=O)c1cccnc1,IC50,=,6200.0,nM,5.207608310501746,3117
CHEMBL2332040,CHEMBL2331260,CCNC(=O)c1ccc(s1)C(=O)NCCN2CCN(CC2)c3ncnc4cc(sc34)C(=O)N,IC50,=,23.0,nM,7.638272163982407,314
CHEMBL2338818,CHEMBL2331260,Cc1c(sc2c(ncnc12)N3CCC(CCNC(=O)C(C)(C)C)CC3)C(=O)N,IC50,=,150.0,nM,6.823908740944319,314
CHEMBL1591531,CHEMBL2203031,Cn1cc(C2=C(C(=O)NC2=O)c3cn(CCCSC(=N)N)c4ccccc34)c5ccccc15.CS(=O)(=O)O,IC50,=,3700.0,nM,5.431798275933005,312
CHEMBL2417685,CHEMBL2417552,COc1ccc2[nH]cc(CCNC(=O)[C@H](CCCCNC(=S)C)NC(=O)OCc3ccccc3)c2c1,IC50,=,29400.0,nM,4.531652669587842,311
CHEMBL3343535,CHEMBL3351796,NC(=O)c1cncc(Oc2ccc3c(NC(=O)c4cccc(c4)[N+](=O)[O-])cccc3c2)c1,IC50,=,10400.0,nM,4.982966660701219,3117
CHEMBL2332037,CHEMBL2331260,CCNC(=O)c1cccc(c1)C(=O)NCCC2CCN(CC2)c3ncnc4cc(sc34)C(=O)N,IC50,=,4.9,nM,8.309803919971486,314
CHEMBL2338811,CHEMBL2331260,CS(=O)(=O)NCCN1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,370.0,nM,6.431798275933005,314
CHEMBL2338810,CHEMBL2331260,CS(=O)(=O)NCCC1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,7.2,nM,8.142667503568731,314
CHEMBL2338816,CHEMBL2331260,CC(C)(C)C(=O)NCCC1CCN(CC1)c2ccnc3cc(sc23)C(=O)N,IC50,=,110.0,nM,6.958607314841775,314
CHEMBL224864,CHEMBL2150931,Clc1ccc(Cl)c(c1)c2oc(\C=C(/C#N)\C(=O)Nc3cccc4ncccc34)cc2,IC50,=,91000.0,nM,4.040958607678906,3124
CHEMBL2164016,CHEMBL2331260,CCCCC[C@H]1CC(=O)c2cc(Cl)cc(Br)c2O1,IC50,>,200000.0,nM,0.0,314
CHEMBL3608446,CHEMBL3608247,CC(=O)NCCCC[C@H](NC(=O)C)C(=O)N[C@@H](CCCCNC(=S)C)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C(=O)N,IC50,=,3200.0,nM,5.494850021680094,3118
CHEMBL3609649,CHEMBL3608247,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](Cc1csc2ccccc12)NC(=O)C)C(=O)N,IC50,=,1440.0,nM,5.841637507904751,3118
CHEMBL569449,CHEMBL2169871,Oc1c(Br)cc(\C=C\2/C(=O)Nc3c(Cl)c(Cl)ccc23)cc1Br,IC50,=,24000.0,nM,4.619788758288394,3112
CHEMBL1140,CHEMBL1155190,NC(=O)c1cccnc1,IC50,=,14000.0,nM,4.853871964321762,3115
CHEMBL3343525,CHEMBL3351796,NC(=O)c1cncc(Oc2ccc3ccccc3c2)c1,IC50,=,2140.0,nM,5.669586226650809,3117
CHEMBL1501622,CHEMBL2062496,Cc1ccncc1C(=O)N,IC50,=,23000.0,nM,4.638272163982407,3116
CHEMBL224864,CHEMBL3351796,Clc1ccc(Cl)c(c1)c2oc(\C=C(/C#N)\C(=O)Nc3cccc4ncccc34)cc2,IC50,=,52800.0,nM,4.277366077466188,3117
CHEMBL3233739,CHEMBL3232806,Cc1ccc(cc1)C2=C(Cc3c(O)ccc4cc(Br)ccc34)C(=O)NN2,IC50,>,200000.0,nM,0.0,3110
CHEMBL2332053,CHEMBL2331260,CC(=S)NCCN1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,280.0,nM,6.552841968657781,314
CHEMBL2417696,CHEMBL2417552,CC(=S)NCCCC[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OCc2ccccc2)C(=O)NCC(=O)c3ccccc3,IC50,=,3890.0,nM,5.410050398674292,311
CHEMBL2332051,CHEMBL2331260,CC(=O)NCCN1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,770.0,nM,6.113509274827518,314
CHEMBL3343654,CHEMBL3351796,NC(=O)c1cncc(Oc2cccc3c(NC(=O)c4cccc(c4)[N+](=O)[O-])cccc23)c1,IC50,=,19300.0,nM,4.714442690992226,3117
CHEMBL2332041,CHEMBL2331260,CC(C)(C)OC(=O)c1ccc(s1)C(=O)NCCC2CCN(CC2)c3ncnc4cc(sc34)C(=O)N,IC50,=,3.2,nM,8.494850021680094,314
CHEMBL3608449,CHEMBL3608247,CC(=O)NC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](Cc1csc2ccccc12)NC(=O)C)C(=O)N,IC50,=,1750.0,nM,5.756961951313706,3118
CHEMBL2332050,CHEMBL2331260,CC(=O)NCC1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,4400.0,nM,5.356547323513812,314
CHEMBL115600,CHEMBL1140425,Cc1ccc2[nH]c3C(CCCc3c2c1)C(=O)N,IC50,>,100000.0,nM,0.0,315
CHEMBL2203539,CHEMBL2203031,O=C1NC(=S)NC(=O)C1=Cc2cn(Cc3ccccc3)c4ccccc24,IC50,=,116300.0,nM,0.0,312
CHEMBL446446,CHEMBL1140425,NC(=O)C1CCCCc2c1[nH]c3ccc(Cl)cc23,IC50,>,100000.0,nM,0.0,315
CHEMBL3343656,CHEMBL3351796,NC(=O)c1cncc(Oc2cccc3c(NC(=O)c4cccnc4)cccc23)c1,IC50,=,33600.0,nM,4.4736607226101555,3117
CHEMBL2332043,CHEMBL2331260,NC(=O)c1cc2ncnc(N3CCC(CCNC(=O)c4cccs4)CC3)c2s1,IC50,=,7.6,nM,8.119186407719209,314
CHEMBL1140,CHEMBL2203031,NC(=O)c1cccnc1,IC50,=,30000.0,nM,4.522878745280337,312
CHEMBL584353,CHEMBL2169871,CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc2ccccc2,IC50,>,100000.0,nM,0.0,3112
CHEMBL1814816,CHEMBL1811808,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCCC(=O)N)NC(=O)[C@H](CCCCNC(=O)C)NC(=O)C)C(=O)N,IC50,=,213500.0,nM,0.0,316
CHEMBL420311,CHEMBL3351796,NC(=O)C1CCCc2c1[nH]c3ccc(Cl)cc23,IC50,=,128000.0,nM,0.0,3117
CHEMBL112265,CHEMBL1140425,NC(=O)C1CCCc2c1[nH]c3ccccc23,IC50,>,100000.0,nM,0.0,315
CHEMBL2152613,CHEMBL2150931,NC(=O)c1ccccc1Nc2cccc(OCCc3ccccc3)c2,IC50,>,300000.0,nM,0.0,3124
CHEMBL3236133,CHEMBL3232889,NC(=O)c1ccccc1Nc2ccc(cc2)c3cn(Cc4ccccc4)nn3,IC50,>,100000.0,nM,0.0,319
CHEMBL2170193,CHEMBL2169871,CCOC(=O)CC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc2ccccc2,IC50,>,300000.0,nM,0.0,3112
CHEMBL3609645,CHEMBL3608247,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CNC(=O)C)NC(=O)C)C(=O)N,IC50,=,1000.0,nM,6.0,3118
CHEMBL3221535,CHEMBL3217699,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CCCCNC(=O)C)NC(=O)C)C(=O)N,IC50,=,4500.0,nM,5.346787486224656,3113
CHEMBL2332047,CHEMBL2331260,NC(=O)c1cc2ncnc(N3CCCCC3)c2s1,IC50,=,8600.0,nM,5.0655015487564325,314
CHEMBL491960,CHEMBL2203031,Oc1ccc2ccccc2c1CC3=C(NC(=S)NC3=O)c4ccccc4,IC50,,,,0.0,312
CHEMBL1814814,CHEMBL1811808,CC(=O)NCCC[C@H](NC(=O)[C@H](CCCCNC(=S)N)NC(=O)[C@H](CCCNC(=O)C)NC(=O)C)C(=O)N,IC50,=,57200.0,nM,4.242603971206976,316
CHEMBL2338809,CHEMBL2331260,CC(C)(C)C(=O)NCCN1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,92.0,nM,7.036212172654444,314
CHEMBL1140,CHEMBL2062496,NC(=O)c1cccnc1,IC50,=,377000.0,nM,0.0,3116
CHEMBL2332042,CHEMBL2331260,NC(=O)c1cc2ncnc(N3CCC(CCNC(=O)c4ccc(s4)C(=O)O)CC3)c2s1,IC50,=,13.0,nM,7.886056647693163,314
CHEMBL3608448,CHEMBL3608247,CC(=O)NC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](Cc1ccc(cc1)c2ccccc2)NC(=O)C)C(=O)N,IC50,=,1620.0,nM,5.790484985457369,3118
CHEMBL2332052,CHEMBL2331260,CC(=S)NCCC1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,39.0,nM,7.4089353929735005,314
CHEMBL420311,CHEMBL1140425,NC(=O)C1CCCc2c1[nH]c3ccc(Cl)cc23,IC50,=,48700.0,nM,4.3124710387853655,315
CHEMBL6291,CHEMBL1795265,Cn1cc(C2=C(C(=O)NC2=O)c3cn(CCCSC(=N)N)c4ccccc34)c5ccccc15,IC50,=,3700.0,nM,5.431798275933005,318
CHEMBL2332039,CHEMBL2331260,CCNC(=O)c1ccc(s1)C(=O)NCCC2CCN(CC2)c3ncnc4cc(sc34)C(=O)N,IC50,=,4.0,nM,8.397940008672037,314
CHEMBL584353,CHEMBL3217699,CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc2ccccc2,IC50,,,,0.0,3113
CHEMBL3608440,CHEMBL3608247,CCCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CCCCNC(=O)C)NC(=O)C)C(=O)N,IC50,=,980.0,nM,6.008773924307505,3118
CHEMBL3343651,CHEMBL3351796,Cc1ccc(cc1[N+](=O)[O-])C(=O)Nc2cccc3c(Oc4cncc(c4)C(=O)N)cccc23,IC50,=,232000.0,nM,0.0,3117
CHEMBL2203543,CHEMBL2203031,Brc1ccc(COc2ccc(C=C3C(=O)NC(=S)NC3=O)cc2)cc1,IC50,=,30300.0,nM,4.518557371497695,312
CHEMBL420311,CHEMBL2203031,NC(=O)C1CCCc2c1[nH]c3ccc(Cl)cc23,IC50,=,49000.0,nM,4.309803919971486,312
CHEMBL3608445,CHEMBL3608247,CC(=O)NCCCC[C@H](NC(=O)C)C(=O)N[C@@H](CCCCNC(=S)C)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)N,IC50,=,2100.0,nM,5.6777807052660805,3118
CHEMBL3609647,CHEMBL3608247,CCC[C@H](NC(=O)C)C(=O)N[C@@H](CCCCNC(=S)C)C(=O)N[C@@H](CCCCNC(=O)C)C(=O)N,IC50,=,2100.0,nM,5.6777807052660805,3118
CHEMBL3233742,CHEMBL3232806,COc1cc2ccccc2c(CC3=C(NNC3=O)c4ccc(C)cc4)c1O,IC50,>,200000.0,nM,0.0,3110
CHEMBL2338812,CHEMBL2331260,NC(=O)c1cc2ncnc(N3CCC(CN4CCCC4)CC3)c2s1,IC50,=,61.0,nM,7.214670164989233,314
CHEMBL3236132,CHEMBL3232889,NC(=O)c1ccccc1Nc2cccc(c2)c3cn(CCC4CCCC4)nn3,IC50,>,100000.0,nM,0.0,319
CHEMBL2338815,CHEMBL2331260,CC(C)(C)C(=O)NCCC1CCN(CC1)c2ncnc3cc(oc23)C(=O)N,IC50,=,1300.0,nM,5.886056647693163,314
CHEMBL3608444,CHEMBL3608247,CC(=O)NCCCC[C@H](NC(=O)C)C(=O)N[C@@H](CCCCNC(=S)C)C(=O)N[C@@H](CCc1ccccc1)C(=O)N,IC50,=,320.0,nM,6.494850021680094,3118
CHEMBL3343655,CHEMBL3351796,NC(=O)c1cncc(Oc2cccc3c(NC(=O)c4ccncc4)cccc23)c1,IC50,=,32500.0,nM,4.488116639021126,3117
CHEMBL3609653,CHEMBL3608247,CC(=O)NCCCC[C@H](NC(=O)C)C(=O)N[C@@H](CCCCNC(=S)C)C(=O)N[C@@H](CNC(=O)C)C(=O)N,IC50,=,360.0,nM,6.443697499232712,3118
CHEMBL2332045,CHEMBL2331260,CC(=O)NCCC1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,56.0,nM,7.251811972993799,314
CHEMBL3343532,CHEMBL3351796,Cc1ccc(cc1[N+](=O)[O-])C(=O)Nc2cccc3cc(Oc4cncc(c4)C(=O)N)ccc23,IC50,=,4370.0,nM,5.359518563029578,3117
CHEMBL1814815,CHEMBL3217699,CC(=O)NCCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CCCNC(=O)C)NC(=O)C)C(=O)N,IC50,=,4300.0,nM,5.366531544420414,3113
CHEMBL3343530,CHEMBL3351796,NC(=O)c1cncc(Oc2cccc3ccccc23)c1,IC50,=,16600.0,nM,4.779891911959945,3117
CHEMBL2332055,CHEMBL2331260,CC(C)(C)C(=O)NCCC1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,33.0,nM,7.481486060122112,314
CHEMBL2338817,CHEMBL2331260,CC(C)(C)C(=O)NCCC1CCN(CC1)c2nccc3cc(sc23)C(=O)N,IC50,=,2100.0,nM,5.6777807052660805,314
CHEMBL2338808,CHEMBL2331260,CC(C)(C)C(=O)NCCCC1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,67.0,nM,7.173925197299173,314
CHEMBL3236703,CHEMBL3232865,CN(c1ccc(F)cc1)S(=O)(=O)c2cccc(c2)C(=O)Nc3ccc(cc3)C#N,Inhibition,=,2.0,%,2.0,323
CHEMBL2382161,CHEMBL2380241,COc1cccc(c1)c2noc(CCC(=O)Nc3ccc(NC(=O)C)cc3)n2,Inhibition,=,6.8,%,6.8,3222
CHEMBL3237010,CHEMBL3232865,CN(c1ccc(cc1)C(=O)C)S(=O)(=O)c2cccc(c2)C(=O)Nc3ccc(Cl)cc3,Inhibition,=,7.0,%,7.0,323
CHEMBL3343505,CHEMBL3351796,Cc1ccc(cc1)C(=O)Nc2ccc(c3ccccc23)S(=O)(=O)O,Inhibition,=,25.0,%,25.0,3217
CHEMBL3343506,CHEMBL3351796,OS(=O)(=O)c1ccc(NC(=O)c2cccc(c2)[N+](=O)[O-])c3ccccc13,Inhibition,=,23.0,%,23.0,3217
CHEMBL3233734,CHEMBL3232806,COc1ccc2c(CC3=C(NNC3=O)c4ccc(C)cc4)c(O)ccc2c1,Inhibition,=,35.0,%,35.0,3210
CHEMBL2203537,CHEMBL2203031,CN1C(=S)NC(=O)\C(=C/c2c[nH]c3ccccc23)\C1=O,Inhibition,=,17.0,%,17.0,322
CHEMBL3237040,CHEMBL3232865,CN(c1ccc(Cl)cc1)S(=O)(=O)c2cc(ccn2)C(=O)Nc3ccc(cc3)C#N,Inhibition,=,2.0,%,2.0,323
CHEMBL1797749,CHEMBL3232865,[O-][N+](=O)c1cccc(NC(=O)c2cccc(c2)S(=O)(=O)N3CCCCCC3)c1,Inhibition,=,0.0,%,0.0,323
CHEMBL3343499,CHEMBL3351796,Cc1ccc(cc1)C(=O)Nc2cccc3cccc(c23)S(=O)(=O)O,Inhibition,=,10.0,%,10.0,3217
CHEMBL2382099,CHEMBL2380241,Oc1cccc(NC2=C(Cl)C(=O)N(CCc3ccccc3)C2=O)c1,Inhibition,=,72.0,%,72.0,3222
CHEMBL2417685,CHEMBL2417552,COc1ccc2[nH]cc(CCNC(=O)[C@H](CCCCNC(=S)C)NC(=O)OCc3ccccc3)c2c1,Inhibition,=,63.0,%,63.0,321
CHEMBL2420990,CHEMBL2417552,Cl.CC(=S)NCCCC[C@H](NC(=O)[C@@H]1CCCN1)C(=O)Nc2ccccc2,Inhibition,=,19.0,%,19.0,321
CHEMBL2382106,CHEMBL2380241,Clc1ccccc1c2oc3ccc(NC(=O)Cc4ccccc4)cc3n2,Inhibition,=,51.0,%,51.0,3222
CHEMBL3343518,CHEMBL3351796,NC(=O)c1ccc(Oc2cccc3ccccc23)cc1,Inhibition,=,10.0,%,10.0,3217
CHEMBL1733647,CHEMBL2380241,Clc1cccc(Cl)c1C(=O)Nc2ccc(Nc3ccccc3)cc2,Inhibition,=,22.0,%,22.0,3222
CHEMBL3237038,CHEMBL3232865,CN(C(=O)c1cccc(c1)S(=O)(=O)N(C)c2ccc(Br)cc2)c3ccc(Br)cc3F,Inhibition,=,0.0,%,0.0,323
CHEMBL2420984,CHEMBL2417552,CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1F)C(=O)Nc2cccnc2,Inhibition,=,72.0,%,72.0,321
CHEMBL2382111,CHEMBL2380241,NS(=O)(=O)c1ccc(CCNC2CC(=O)N(C2=O)c3ccc(Cl)c(Cl)c3)cc1,Inhibition,=,11.0,%,11.0,3222
CHEMBL2382102,CHEMBL2380241,Fc1ccc(NC(=O)CCC(=O)Nc2ccc(F)c(Cl)c2)cc1Cl,Inhibition,=,1.9,%,1.9,3222
CHEMBL3236998,CHEMBL3232865,COc1ccc(cc1)N(C)S(=O)(=O)c2cccc(c2)C(=O)Nc3ccc(cc3)C#N,Inhibition,=,14.0,%,14.0,323
CHEMBL3237041,CHEMBL3232865,CN(c1ccc(Cl)cc1)S(=O)(=O)c2cc(ccn2)C(=O)Nc3ccc(cc3F)C#N,Inhibition,=,25.0,%,25.0,323
CHEMBL535,CHEMBL1156803,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C,Inhibition,=,26.4,%,26.4,3221
CHEMBL3343516,CHEMBL3351796,NC(=O)c1ccc(Nc2cccc3ccccc23)cc1,Inhibition,=,22.0,%,22.0,3217
CHEMBL1797749,CHEMBL3580657,[O-][N+](=O)c1cccc(NC(=O)c2cccc(c2)S(=O)(=O)N3CCCCCC3)c1,Inhibition,=,5.0,%,5.0,327
CHEMBL2417695,CHEMBL2417552,CC(=S)NCCCC[C@H](NC(=O)CCc1cccnc1)C(=O)NCC(=O)c2ccccc2,Inhibition,=,62.0,%,62.0,321
CHEMBL3343492,CHEMBL3351796,OS(=O)(=O)c1ccc2c(NC(=O)c3ccccc3)cccc2c1,Inhibition,=,21.0,%,21.0,3217
CHEMBL1797933,CHEMBL1795265,COc1ccc(CNc2ccc(cc2N)[N+](=O)[O-])c(OC)c1,Inhibition,=,12.0,%,12.0,328
CHEMBL1359954,CHEMBL2380241,Fc1ccc(cc1)N2CCN(CC2)C3CC(=O)N(C3=O)c4ccc5OCOc5c4,Inhibition,=,6.4,%,6.4,3222
