CMPD_CHEMBLID,DOC_CHEMBLID,CANONICAL_SMILES,STANDARD_TYPE,RELATION,STANDARD_VALUE,STANDARD_UNITS,relevance,qid
CHEMBL2203546,CHEMBL2203031,COc1ccc2c(C=C3C(=O)NC(=S)NC3=O)cccc2c1,IC50,=,43300.0,nM,4.363512103646634,312
CHEMBL224864,CHEMBL3217699,Clc1ccc(Cl)c(c1)c2oc(\C=C(/C#N)\C(=O)Nc3cccc4ncccc34)cc2,IC50,,,,0.0,3113
CHEMBL3609651,CHEMBL3608247,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)C)C(=O)N,IC50,=,1290.0,nM,5.889410289700751,3118
CHEMBL569449,CHEMBL1156803,Oc1c(Br)cc(\C=C\2/C(=O)Nc3c(Cl)c(Cl)ccc23)cc1Br,IC50,=,23600.0,nM,4.627087997029894,3121
CHEMBL491960,CHEMBL3232806,Oc1ccc2ccccc2c1CC3=C(NC(=S)NC3=O)c4ccccc4,IC50,>,200000.0,nM,0.0,3110
CHEMBL2338813,CHEMBL2331260,NC(=O)c1cc2ncnc(N3CCC(CCN4CCCC4)CC3)c2s1,IC50,=,28.0,nM,7.552841968657781,314
CHEMBL2332038,CHEMBL2331260,CCNC(=O)c1cccc(c1)C(=O)NCCN2CCN(CC2)c3ncnc4cc(sc34)C(=O)N,IC50,=,24.0,nM,7.619788758288394,314
CHEMBL270292,CHEMBL2203031,Brc1ccc2c3C(CC(=O)Oc3ccc2c1)c4ccccc4,IC50,,,,0.0,312
CHEMBL2332046,CHEMBL2331260,NCCC1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,300.0,nM,6.522878745280337,314
CHEMBL2152621,CHEMBL2150931,NC(=O)c1ccccc1Nc2cccc(OCCc3cccc(F)c3)c2,IC50,>,300000.0,nM,0.0,3124
CHEMBL3608441,CHEMBL3608247,CCC[C@H](NC(=O)[C@H](CCCCNC(=S)C)NC(=O)[C@H](CCCCNC(=O)C)NC(=O)C)C(=O)N,IC50,=,480.0,nM,6.318758762624412,3118
CHEMBL3343523,CHEMBL3351796,NC(=O)c1cncc(Nc2ccc3ccccc3c2)c1,IC50,=,12300.0,nM,4.910094888560602,3117
CHEMBL584353,CHEMBL1155190,CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc2ccccc2,IC50,>,100000.0,nM,0.0,3115
CHEMBL3343534,CHEMBL3351796,Cc1ccc(cc1)C(=O)Nc2cccc3cc(Oc4cncc(c4)C(=O)N)ccc23,IC50,=,22900.0,nM,4.6401645176601125,3117
CHEMBL2332044,CHEMBL2331260,CC(C)(C)OC(=O)NCCC1CCN(CC1)c2ncnc3cc(sc23)C(=O)N,IC50,=,29.0,nM,7.537602002101044,314
